SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,54.3,54.35,51.55,52.15,52.3,53.95,79203,4176274.35,16-FEB-2018,902,INE144J01027,
21STCENMGM,BE,42.75,42.75,42.75,42.75,42.75,41.95,1585,67758.75,16-FEB-2018,8,INE253B01015,
3IINFOTECH,EQ,5.9,6,5.6,5.6,5.6,5.85,5588805,31804507.85,16-FEB-2018,2742,INE748C01020,
3MINDIA,EQ,20501.4,20730.05,19725.8,19922.35,20050,20402.9,1921,38847187.6,16-FEB-2018,907,INE470A01017,
5PAISA,EQ,338.8,341.3,331,341.3,341.3,325.05,25153,8581747.55,16-FEB-2018,279,INE618L01018,
63MOONS,EQ,101.05,104.2,90,95,94.8,102.5,1343715,127301637.25,16-FEB-2018,14516,INE111B01023,
8KMILES,EQ,831,866.45,792,809.9,809.45,784.85,1607492,1344361621.55,16-FEB-2018,54353,INE650K01021,
A2ZINFRA,EQ,34.25,34.8,32.45,32.75,32.9,34.05,1286020,42578320.75,16-FEB-2018,4256,INE619I01012,
AARTIDRUGS,EQ,668.8,668.8,645.45,648.8,649,655.8,5556,3612296.05,16-FEB-2018,898,INE767A01016,
AARTIIND,EQ,1182,1182,1155,1169,1175,1180.2,18365,21461415.35,16-FEB-2018,1270,INE769A01020,
AARVEEDEN,EQ,53,53.5,50.3,51.4,51.25,52.5,34816,1794069.7,16-FEB-2018,278,INE273D01019,
AARVI,SM,94,94,92.15,92.4,92.15,97,6000,557700,16-FEB-2018,3,INE754X01016,
ABAN,EQ,178.7,180.5,172.2,173.7,173.7,177.35,1039243,182662066,16-FEB-2018,12492,INE421A01028,
ABB,EQ,1559.9,1569.45,1507,1514.65,1512.05,1550.5,50718,77231896.35,16-FEB-2018,4434,INE117A01022,
ABBOTINDIA,EQ,5734,5750,5470.05,5518.15,5550,5652.6,15235,86229752.5,16-FEB-2018,1159,INE358A01014,
ABCAPITAL,EQ,166.45,166.9,163.65,164.5,164.4,165.95,1249920,205933184.95,16-FEB-2018,13019,INE674K01013,
