SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
APOLLOTYRE,EQ,245,249.35,244.2,247.9,248.6,243.2,2076472,513195646.6,08-DEC-2017,24387,INE438A01022,
APOLSINHOT,EQ,839,839,781.2,791.2,790,813.8,399,319674.35,08-DEC-2017,57,INE451F01016,
APTECHT,EQ,364,383.9,360.6,367.6,363.05,363.3,1779952,665105563.5,08-DEC-2017,23747,INE266F01018,
ARCHIDPLY,EQ,97,104.4,97,102.75,102.15,97.1,323173,32818149.3,08-DEC-2017,2459,INE877I01016,
ARCHIES,EQ,35.25,35.8,33.9,34.15,34.2,34.9,492780,17190678.85,08-DEC-2017,1808,INE731A01020,
ARCOTECH,EQ,57.45,58.35,54.9,55.15,55,56.7,894120,50211832.8,08-DEC-2017,4913,INE574I01035,
ARENTERP,BE,17.65,17.65,17.65,17.65,17.65,16.85,2,35.3,08-DEC-2017,1,INE610C01014,
ARIES,BE,225.8,230,222.1,225.35,226.75,223.95,11295,2558088.1,08-DEC-2017,194,INE298I01015,
ARIHANT,BE,46.5,50.7,46.5,50.65,50.65,48.3,11629,587574.4,08-DEC-2017,42,INE413D01011,
ARIHANTSUP,EQ,154.9,154.9,145.1,146.2,146.6,149.7,182671,27015594.75,08-DEC-2017,1043,INE643K01018,
ARMANFIN,BE,257.7,257.7,243,251.7,253.5,248.25,2187,548352.75,08-DEC-2017,63,INE109C01017,
AROGRANITE,EQ,68.5,69.3,67.2,67.8,67.2,68.2,12738,871886.3,08-DEC-2017,147,INE210C01013,
ARROWGREEN,EQ,493.9,497.95,487.05,491,489.95,488.9,9053,4466513.8,08-DEC-2017,409,INE570D01018,
ARROWTEX,EQ,48.1,48.4,46.75,46.95,46.9,47.55,11996,569642,08-DEC-2017,172,INE933J01015,
ARSHIYA,EQ,98.8,100.15,94,95.85,96,98.35,175895,17105544.05,08-DEC-2017,1692,INE968D01022,
ARSSINFRA,BE,62.1,67,62.1,66.3,67,65.3,117931,7619432.25,08-DEC-2017,392,INE267I01010,
ARVIND,EQ,431.6,435.75,426.3,430.7,431.5,429.25,996818,429994681.25,08-DEC-2017,18039,INE034A01011,
ARVSMART,EQ,182.4,184,178.25,180.15,181.2,180.45,50738,9211099.3,08-DEC-2017,882,INE034S01021,
ASAHIINDIA,EQ,365.95,397.35,361.6,371,373.8,361.8,195565,74080499.75,08-DEC-2017,3201,INE439A01020,
ASAHISONG,EQ,345.5,345.75,340,341.3,341,344.7,4552,1555395.9,08-DEC-2017,186,INE228I01012,
ASAL,EQ,83.75,85.05,81.2,81.75,81.25,83.7,13621,1126411.6,08-DEC-2017,270,INE900C01027,
ASHAPURMIN,EQ,93.7,96.5,93,93.7,93.75,93.45,463381,43910559.85,08-DEC-2017,2276,INE348A01023,
ASHIANA,EQ,173,176.9,171.1,171.4,171.1,171.25,376708,65937129.35,08-DEC-2017,3591,INE365D01021,
ASHIMASYN,EQ,31.1,31.25,30.5,30.5,30.6,30.65,182741,5604693.75,08-DEC-2017,458,INE440A01010,
ASHOKA,EQ,247.55,252,245.5,248.85,247,249.45,196817,49026271.55,08-DEC-2017,15550,INE442H01029,
ASHOKLEY,EQ,117.5,119.35,117.1,118.55,118.75,116.9,10420608,1237192656.3,08-DEC-2017,37837,INE208A01029,
ASIANHOTNR,EQ,140.15,149.4,140.15,147.65,147,142.05,10142,1503577.15,08-DEC-2017,209,INE363A01022,
ASIANPAINT,EQ,1144.95,1153.5,1130.1,1135.5,1135.5,1144.4,593327,675335859.3,08-DEC-2017,25826,INE021A01026,
ASIANTILES,EQ,500,517,498,512.35,517,495.55,118692,60362241.75,08-DEC-2017,3349,INE022I01019,
ASPINWALL,EQ,457,470,422.1,423.9,422.15,447.2,26116,11698027,08-DEC-2017,884,INE991I01015,
ASSAMCO,BE,5.8,6,5.55,5.8,5.95,5.75,536867,3107325.25,08-DEC-2017,408,INE442A01024,
ASTEC,EQ,527.75,552.5,526.3,548.8,550,525.6,52062,28303028.3,08-DEC-2017,1608,INE563J01010,
